circRNA	Position	Function	Gene	Gene Description	PMID
hsa_circ_0073760	chr5:127448505-127477673	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073763	chr5:127466758-127488497	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073765	chr5:127469856-127488497	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073766	chr5:127471391-127477673	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073768	chr5:127474515-127488497	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073769	chr5:127474515-127497492	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073770	chr5:127477521-127488497	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073771	chr5:127477521-127493856	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073772	chr5:127477521-127497492	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC12A2	solute carrier family 12 member 2	28831102
hsa_circ_0073955	chr5:133996808-134023989	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SEC24A	SEC24 homolog A, COPII coat complex component	28831102
hsa_circ_0074229	chr5:138994170-139003046	Rheumatoid arthritis [differential expression (rheumatoid arthritis patients vs. healthy controls)]	UBE2D2	ubiquitin conjugating enzyme E2 D2	28983619
hsa_circ_0074233	chr5:139002952-139008018	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	UBE2D2	ubiquitin conjugating enzyme E2 D2	28682884
hsa_circ_0074239	chr5:139574030-139623374	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CYSTM1	cysteine rich transmembrane module containing 1	28831102
hsa_circ_0074362	chr5:142264862-142311690	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ARHGAP26	Rho GTPase activating protein 26	28544609
hsa_circ_0074414	chr5:145543872-145552337	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	LARS	leucyl-tRNA synthetase	28682884
hsa_circ_0074428	chr5:145613012-145616995	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	RBM27	RNA binding motif protein 27	29137225
hsa_circ_0074441	chr5:145640307-145643194	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RBM27	RNA binding motif protein 27	28682884
hsa_circ_0074563	chr5:150088308-150136049	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DCTN4	dynactin subunit 4	28831102
hsa_circ_0074586	chr5:150488015-150488111	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074587	chr5:150488015-150490205	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074589	chr5:150488015-150512748	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074590	chr5:150488015-150516882	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074591	chr5:150488015-150518352	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074592	chr5:150490187-150503928	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ANXA6	annexin A6	28682884
hsa_circ_0074652	chr5:151049224-151054235	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SPARC	secreted protein acidic and cysteine rich	28831102
hsa_circ_0074660	chr5:151122382-151138210	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	ATOX1	antioxidant 1 copper chaperone	29137225
hsa_circ_0074770	chr5:156723680-156742102	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CYFIP2	cytoplasmic FMR1 interacting protein 2	28831102
hsa_circ_0074780	chr5:156768077-156768165	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CYFIP2	cytoplasmic FMR1 interacting protein 2	28831102
hsa_circ_0074806	chr5:157218710-157219003	Colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	CLINT1	clathrin interactor 1	28656150
hsa_circ_0074814	chr5:158122922-158139341	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	EBF1	early B-cell factor 1	28831102
hsa_circ_0074816	chr5:158204420-158223483	Ovarian aging [differential expression (human granulosa cells during maternal aging)]	EBF1	early B-cell factor 1	28644873
hsa_circ_0074817	chr5:158204420-158223486	Cutaneous squamous cell carcinoma [differential expression]; ovarian aging [differential expression (human granulosa cells during maternal aging)]	EBF1	early B-cell factor 1	27298156;28644873
hsa_circ_0074850	chr5:162870679-162870931	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CCNG1	cyclin G1	28831102
hsa_circ_0074854	chr5:162940560-162944680	Rheumatoid arthritis [differential expression (rheumatoid arthritis patients vs. healthy controls)]	MAT2B	methionine adenosyltransferase 2B	28983619
hsa_circ_0074900	chr5:168096787-168151489	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	SLIT3	slit guidance ligand 3	28682884
hsa_circ_0074930	chr5:168233450-168250336	Colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	SLIT3	slit guidance ligand 3	28656150
hsa_circ_0074932	chr5:168244304-168250336	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	SLIT3	slit guidance ligand 3	27097056;28656150
hsa_circ_0075092	chr5:175716656-175717958	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SIMC1	SUMO interacting motifs containing 1	28831102
hsa_circ_0075118	chr5:175956731-175956819	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RNF44	ring finger protein 44	28682884
hsa_circ_0075140	chr5:176409469-176409624	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	UIMC1	ubiquitin interaction motif containing 1	28831102
hsa_circ_0075281	chr5:179043126-179043219	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	29137225
hsa_circ_0075286	chr5:179045145-179050165	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	28682884
hsa_circ_0075303	chr5:179146668-179146782	Cutaneous squamous cell carcinoma [differential expression]; hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	CANX	calnexin	27298156;28346469
hsa_circ_0075329	chr5:179315102-179315312	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	TBC1D9B	TBC1 domain family member 9B	29137225
hsa_circ_0075393	chr5:180666066-180666582	Cutaneous squamous cell carcinoma [differential expression]	RACK1	receptor for activated C kinase 1	27298156
hsa_circ_0075410	chr6:304627-311962	Cutaneous squamous cell carcinoma [differential expression]; pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]	DUSP22	dual specificity phosphatase 22	27298156;27997903
hsa_circ_0075425	chr6:553853-555288	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	EXOC2	exocyst complex component 2	28831102
hsa_circ_0075438	chr6:592468-633117	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	EXOC2	exocyst complex component 2	28682884
hsa_circ_0075447	chr6:1726649-1742820	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	GMDS	GDP-mannose 4,6-dehydratase	28831102
hsa_circ_0075494	chr6:3017117-3017219	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	28682884
hsa_circ_0075538	chr6:6144310-6175100	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	F13A1	coagulation factor XIII A chain	28831102
hsa_circ_0075553	chr6:7176887-7211181	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RREB1	ras responsive element binding protein 1	28682884
hsa_circ_0075573	chr6:7398930-7401283	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	RIOK1	RIO kinase 1	28774651
hsa_circ_0075671	chr6:15374347-15410596	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	JARID2	jumonji and AT-rich interaction domain containing 2	29137225
hsa_circ_0075710	chr6:17632880-17669259	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	NUP153	nucleoporin 153	28831102
hsa_circ_0075722	chr6:17646297-17669777	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	NUP153	nucleoporin 153	28831102
hsa_circ_0075736	chr6:17669523-17669777	Cutaneous squamous cell carcinoma [differential expression]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	NUP153	nucleoporin 153	27298156;27606420;28349836;28710406
hsa_circ_0075781	chr6:18163065-18166609	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	KDM1B	lysine demethylase 1B	28682884
hsa_circ_0075825	chr6:21909700-22020771	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; breast cancer [breast cancer patients vs. healthy controls]	CASC15	cancer susceptibility 15	27097056;29045858
hsa_circ_0075828	chr6:22020567-22020771	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]	CASC15	cancer susceptibility 15	27097056
hsa_circ_0075829	chr6:22020567-22056919	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; hypertension [differential expression (hypertension patients vs. healthy controls)], esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	CASC15	cancer susceptibility 15	27097056;28534714;27465405
hsa_circ_0075842	chr6:24475348-24480187	Cutaneous squamous cell carcinoma [differential expression]; colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	27298156;28656150
hsa_circ_0075852	chr6:24818769-24832619	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RIPOR2	RHO family interacting cell polarization regulator 2	28682884
hsa_circ_0075853	chr6:24825453-24832619	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RIPOR2	RHO family interacting cell polarization regulator 2	28682884
hsa_circ_0075854	chr6:24830736-24836099	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RIPOR2	RHO family interacting cell polarization regulator 2	28682884
hsa_circ_0075880	chr6:25551137-25606501	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	CARMIL1	capping protein regulator and myosin 1 linker 1	28682884
hsa_circ_0075948	chr6:32546546-32548633	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	-	-	28831102
hsa_circ_0076020	chr6:33644544-33653604	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	28682884
hsa_circ_0076055	chr6:34789429-34791125	Cutaneous squamous cell carcinoma [differential expression]	UHRF1BP1	UHRF1 binding protein 1	27298156
hsa_circ_0076188	chr6:36464487-36466263	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	STK38	serine/threonine kinase 38	28682884
hsa_circ_0076251	chr6:38050167-38084515	Cutaneous squamous cell carcinoma [differential expression]	ZFAND3	zinc finger AN1-type containing 3	27298156
hsa_circ_0076303	chr6:41704448-41707684	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PGC	progastricsin	28831102
hsa_circ_0076304	chr6:41704448-41710227	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PGC	progastricsin	28831102
hsa_circ_0076305	chr6:41704448-41712252	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PGC	progastricsin	28831102
hsa_circ_0076307	chr6:41709533-41711127	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PGC	progastricsin	28831102
hsa_circ_0076438	chr6:42984871-42987104	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	KLHDC3	kelch domain containing 3	28682884
hsa_circ_0076556	chr6:43498425-43535091	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	XPO5	exportin 5	28831102
hsa_circ_0076691	chr6:45459677-45480144	Cutaneous squamous cell carcinoma [differential expression]	RUNX2	runt related transcription factor 2	27298156
hsa_circ_0076767	chr6:52380803-52381535	Major depressive disorder [differential expression (major depressive disorder patients vs. normal controls)]; repeated implantation failure [differential expression (patients repeated implantation failure vs. control group)]	TRAM2	translocation associated membrane protein 2	27404501;29132137
hsa_circ_0076793	chr6:53138017-53141054	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; cutaneous squamous cell carcinoma [differential expression]	ELOVL5	ELOVL fatty acid elongase 5	27097056;27298156
hsa_circ_0076794	chr6:53138017-53156761	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; cutaneous squamous cell carcinoma [differential expression]	ELOVL5	ELOVL fatty acid elongase 5	27097056;27298156
hsa_circ_0076957	chr6:70669887-70859631	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	COL19A1	collagen type XIX alpha 1 chain	28682884
hsa_circ_0076968	chr6:72960917-73043538	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	RIMS1	regulating synaptic membrane exocytosis 1	28831102
hsa_circ_0076971	chr6:73023208-73043538	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	RIMS1	regulating synaptic membrane exocytosis 1	28831102
hsa_circ_0077024	chr6:75797292-75812408	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077025	chr6:75797292-75825773	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077026	chr6:75797292-75834989	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077033	chr6:75825499-75834087	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077034	chr6:75825499-75857520	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077036	chr6:75833045-75834087	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077042	chr6:75833970-75875495	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077052	chr6:75848035-75848296	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077055	chr6:75851747-75853104	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077056	chr6:75851747-75855171	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077057	chr6:75855041-75855171	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077062	chr6:75875222-75875495	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077063	chr6:75875222-75902071	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	COL12A1	collagen type XII alpha 1 chain	28831102
hsa_circ_0077071	chr6:75962637-75975054	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	TMEM30A	transmembrane protein 30A	28774651
hsa_circ_0077095	chr6:76412360-76419346	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SENP6	SUMO1/sentrin specific peptidase 6	28831102
hsa_circ_0077098	chr6:76412360-76427994	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SENP6	SUMO1/sentrin specific peptidase 6	28831102
hsa_circ_0077163	chr6:80837263-80982938	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	28831102
hsa_circ_0077168	chr6:80910650-80912929	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	28831102
hsa_circ_0077169	chr6:80910650-80982938	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	28831102
hsa_circ_0077179	chr6:82920530-82921289	hsa_circ_0077179 inhibits DNA demethylation and activation of AKT signaling pathway via miR-29b in peripheral blood mononuclear cells in systemic lupus erythematosus; breast cancer [breast cancer patients vs. healthy controls]	IBTK	inhibitor of Bruton tyrosine kinase	29045858;29884225
hsa_circ_0077210	chr6:83933478-83938650	Cutaneous squamous cell carcinoma [differential expression]	ME1	malic enzyme 1	27298156
hsa_circ_0077232	chr6:86180954-86205509	hsa_circ_0077232 acts as a sponge of microRNA-422a to promote glioblastoma tumorigenesis.	NT5E	5'-nucleotidase ecto	29967262
hsa_circ_0077253	chr6:86351009-86351169	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	28682884
hsa_circ_0077285	chr6:88331071-88331731	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ORC3	origin recognition complex subunit 3	28831102
hsa_circ_0077295	chr6:89614433-89616159	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	RNGTT	RNA guanylyltransferase and 5'-phosphatase	28682884
hsa_circ_0077304	chr6:90045020-90053475	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	UBE2J1	ubiquitin conjugating enzyme E2 J1	28831102
hsa_circ_0077392	chr6:91261767-91261898	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	MAP3K7	mitogen-activated protein kinase kinase kinase 7	28774651
hsa_circ_0077426	chr6:99912479-99958106	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	USP45	ubiquitin specific peptidase 45	29137225
hsa_circ_0077495	chr6:101246588-101253756	Cutaneous squamous cell carcinoma [differential expression]	ASCC3	activating signal cointegrator 1 complex subunit 3	27298156
hsa_circ_0077526	chr6:105563560-105564743	Bladder cancer [differential expression (bladder cancer vs normal tissues)]; human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	BVES	blood vessel epicardial substance	27484176;29137225
hsa_circ_0077557	chr6:108227886-108232600	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SEC63	SEC63 homolog, protein translocation regulator	28831102
hsa_circ_0077558	chr6:108227886-108234631	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SEC63	SEC63 homolog, protein translocation regulator	28831102
hsa_circ_0077660	chr6:111726672-111793343	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	28831102
hsa_circ_0077736	chr6:118832460-118887479	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CEP85L	centrosomal protein 85 like	28831102
hsa_circ_0077783	chr6:126242088-126243980	Colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	NCOA7	nuclear receptor coactivator 7	28656150
hsa_circ_0077861	chr6:132198131-132207864	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	28831102
hsa_circ_0077971	chr6:136926346-137019820	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAP3K5	mitogen-activated protein kinase kinase kinase 5	28831102
hsa_circ_0077979	chr6:136990420-137018525	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAP3K5	mitogen-activated protein kinase kinase kinase 5	28831102
hsa_circ_0077981	chr6:137015277-137015448	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAP3K5	mitogen-activated protein kinase kinase kinase 5	28831102
hsa_circ_0077982	chr6:137015277-137017195	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAP3K5	mitogen-activated protein kinase kinase kinase 5	28831102
hsa_circ_0077983	chr6:137015277-137026271	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAP3K5	mitogen-activated protein kinase kinase kinase 5	28831102
hsa_circ_0077996	chr6:138195981-138196172	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	TNFAIP3	TNF alpha induced protein 3	28682884
hsa_circ_0078022	chr6:139229804-139262626	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	REPS1	RALBP1 associated Eps domain containing 1	28831102
hsa_circ_0078051	chr6:143486218-143605362	Cutaneous squamous cell carcinoma [differential expression]	AIG1	androgen induced 1	27298156
hsa_circ_0078134	chr6:146209155-146214529	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SHPRH	SNF2 histone linker PHD RING helicase	28831102
hsa_circ_0078136	chr6:146209155-146256577	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SHPRH	SNF2 histone linker PHD RING helicase	28831102
hsa_circ_0078150	chr6:147527106-147560406	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	STXBP5	syntaxin binding protein 5	28831102
hsa_circ_0078155	chr6:147527106-147655358	Cutaneous squamous cell carcinoma [differential expression]	STXBP5	syntaxin binding protein 5	27298156
hsa_circ_0078193	chr6:149262414-149262570	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	UST	uronyl 2-sulfotransferase	28831102
hsa_circ_0078297	chr6:151336015-151336829	Hypertension [differential expression (hypertension patients vs. healthy controls)]	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	28534714
hsa_circ_0078346	chr6:154743639-154744117	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	CNKSR3	CNKSR family member 3	29137225
hsa_circ_0078364	chr6:155095122-155114110	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SCAF8	SR-related CTD associated factor 8	28831102
hsa_circ_0078399	chr6:157222509-157256710	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ARID1B	AT-rich interaction domain 1B	28831102
hsa_circ_0078459	chr6:158834096-158850929	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	TULP4	tubby like protein 4	28831102
hsa_circ_0078460	chr6:158834096-158873300	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	TULP4	tubby like protein 4	28831102
hsa_circ_0078495	chr6:159001971-159044639	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	TMEM181	transmembrane protein 181	28831102
hsa_circ_0078504	chr6:159004985-159052421	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	TMEM181	transmembrane protein 181	28831102
hsa_circ_0078616	chr6:161455290-161455481	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	MAP3K4	mitogen-activated protein kinase kinase kinase 4	29137225
hsa_circ_0078617	chr6:161455290-161471011	Cutaneous squamous cell carcinoma [differential expression]	MAP3K4	mitogen-activated protein kinase kinase kinase 4	27298156
hsa_circ_0078673	chr6:168265230-168291709	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	AFDN	afadin, adherens junction formation factor	28970820
hsa_circ_0078768	chr6:170626457-170632347	Cutaneous squamous cell carcinoma [differential expression]; active pulmonary tuberculosis [differential expression (active pulmonary tuberculosispatients vs. health controls)]	FAM120B	family with sequence similarity 120B	27298156;28846924
hsa_circ_0078837	chr6_cox_hap2:3934124-3998487	Coronary artery disease [differential expression (coronary artery disease vs. control groups)]	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	28045102
hsa_circ_0078969	chr6_qbl_hap6:2003904-2004902	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	-	-	28682884
hsa_circ_0078982	chr6_qbl_hap6:3842040-3848256	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	-	-	28682884
hsa_circ_0079353	chr7:6456471-6472590	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	DAGLB	diacylglycerol lipase beta	28682884
hsa_circ_0079375	chr7:6618131-6624891	Cutaneous squamous cell carcinoma [differential expression]	ZDHHC4	zinc finger DHHC-type containing 4	27298156
hsa_circ_0079385	chr7:6624646-6624891	Pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]	ZDHHC4	zinc finger DHHC-type containing 4	27997903
hsa_circ_0079419	chr7:8008422-8099878	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	GLCCI1	glucocorticoid induced 1	28831102
hsa_circ_0079420	chr7:8062112-8099878	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	GLCCI1	glucocorticoid induced 1	28831102
