circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
hsa_circ_0005397	chr17:30500849-30503232	+	RHOT1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005397	Pancreatic ductal adenocarcinoma	Upregulated	qPCR etc.	Human	"Two up-regulated circRNAs and five down-regulated circRNAs (including hsa_circ_0001946, hsa_circ_0005397, hsa_circ_0006913, hsa_circ_0000257, hsa_circ_0005785, hsa_circ_0041150, and hsa_circ_0008719). We validated their expression levels via qRT-PCR in 20 sets of PDAC tissues and adjacent normal tissues"	2016/12/1	27997903	
hsa_circ_0006913	chr1:27087346-27089776	+	ARID1A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006913	Pancreatic ductal adenocarcinoma	Downregulated	qPCR etc.	Human	"Two up-regulated circRNAs and five down-regulated circRNAs (including hsa_circ_0001946, hsa_circ_0005397, hsa_circ_0006913, hsa_circ_0000257, hsa_circ_0005785, hsa_circ_0041150, and hsa_circ_0008719). We validated their expression levels via qRT-PCR in 20 sets of PDAC tissues and adjacent normal tissues"	2016/12/1	27997903	
hsa_circ_0000257	chr10:103916775-103917971	+	NOLC1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000257	Pancreatic ductal adenocarcinoma	Downregulated	qPCR etc.	Human	"Two up-regulated circRNAs and five down-regulated circRNAs (including hsa_circ_0001946, hsa_circ_0005397, hsa_circ_0006913, hsa_circ_0000257, hsa_circ_0005785, hsa_circ_0041150, and hsa_circ_0008719). We validated their expression levels via qRT-PCR in 20 sets of PDAC tissues and adjacent normal tissues"	2016/12/1	27997903	
hsa_circ_0041150	chr17:131558-177370	-	RPH3AL	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0041150	Pancreatic ductal adenocarcinoma	Downregulated	qPCR etc.	Human	"Two up-regulated circRNAs and five down-regulated circRNAs (including hsa_circ_0001946, hsa_circ_0005397, hsa_circ_0006913, hsa_circ_0000257, hsa_circ_0005785, hsa_circ_0041150, and hsa_circ_0008719). We validated their expression levels via qRT-PCR in 20 sets of PDAC tissues and adjacent normal tissues"	2016/12/1	27997903	
hsa_circ_0008719	chr19:40761064-40771258	-	AKT2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008719	Pancreatic ductal adenocarcinoma	Downregulated	qPCR etc.	Human	"Two up-regulated circRNAs and five down-regulated circRNAs (including hsa_circ_0001946, hsa_circ_0005397, hsa_circ_0006913, hsa_circ_0000257, hsa_circ_0005785, hsa_circ_0041150, and hsa_circ_0008719). We validated their expression levels via qRT-PCR in 20 sets of PDAC tissues and adjacent normal tissues"	2016/12/1	27997903	
MCF7_circ_000595	chr14:102466325-102500789	+	DYNC1H1	N/A	Breast cancer	Upregulated	qPCR etc.	Human	"This circRNA was found at chr14:102,466,325每102,500,789 and had 12 supporting junction-spanning reads. This circRNA was a spliced product of gene DYNC1H1 and spanned from exons 17 to 56 of the gene. Considering that the exon-intron structure remains intact, the size of this circRNA is about 7 kb and may play a role in post-transcriptional regulation. Notably, the circRNA contained microRNA response elements (MRE) for miR-150 and miR-661 with 29 and 23 unique binding sites respectively. These two microRNAs have been previously reported to have associations with cancer"	2016/12/1	27829232	
CDR1as/ciRS-7/hsa_circ_0001946	chrX:139865339-139866824	+	CDR1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001946	Alzheimer＊s disease	Downregulated	"qPCR, Northern blot, Western blot etc."	Human	"ciRS-7 contains about ~70 tandem anti-miRNA-7 sequences and acts as an endogenous, anti-complementary miRNA-7 ※sponge§ that attracts, binds, and, hence, quenches, natural miRNA-7 functions. Deficits in ciRS-7-mediated ※sponging events§, resulting in excess ambient miRNA-7 appear to drive the selective down-regulation in the expression of miRNA-7-sensitive mRNA targets, such as that encoding the ubiquitin conjugating enzyme E2A (UBE2A; chr Xq24). "	2016/12/1	27929395	
hsa_circ_101222/hsa_circ_0029601	chr13:20067587-20077417	-	TPTE2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0029601	Pre-eclampsia	Upregulated	qPCR etc.	Human	CircRNA and plasma proteins may have some predictive value for PE (such as circ_101222 and ENG). The performance of each of these factors may be strengthened when plasma proteins are used in combination with circRNA.	2016/12/1	26846540	
hsa_circ_0000069	chr1:47745912-47748131	-	STIL	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000069	Colorectal cancer	Upregulated	"qPCR, Flow cytometric analysis, Cell migration and invasion assay etc."	Human	"hsa_circ_0000069 could affect CRC cell proliferation, migration, invasion, and cell cycle in vitro"	2016/12/1	28003761	
IQCK/hsa_circ_0038374	chr16:19741751-19745149	+	IQCK	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0038374	Multiple system atrophy	Upregulated	qPCR etc.	Human	"Five circRNAs, namely IQCK, MAP4K3, EFCAB11, DTNA, and MCTP1, were identified and validated as specifically over-expressed in MSA frontal cortex.  Further analysis of expression of five MSA-specific circRNAs revealed their over-expression in the white matter of the MSA cortical tissue. "	2016/11/1	27470294	
MAP4K3/hsa_circ_0054211	chr2:39559057-39564722	-	MAP4K3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0054211	Multiple system atrophy	Upregulated	qPCR etc.	Human	"Five circRNAs, namely IQCK, MAP4K3, EFCAB11, DTNA, and MCTP1, were identified and validated as specifically over-expressed in MSA frontal cortex.  Further analysis of expression of five MSA-specific circRNAs revealed their over-expression in the white matter of the MSA cortical tissue. "	2016/11/1	27470294	
EFCAB11/hsa_circ_0032891	chr14:90397884-90398971	-	EFCAB11	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0032891	Multiple system atrophy	Upregulated	qPCR etc.	Human	"Five circRNAs, namely IQCK, MAP4K3, EFCAB11, DTNA, and MCTP1, were identified and validated as specifically over-expressed in MSA frontal cortex.  Further analysis of expression of five MSA-specific circRNAs revealed their over-expression in the white matter of the MSA cortical tissue. "	2016/11/1	27470294	
DTNA/hsa_circ_0108308	chr18:32335939-32374214	+	DTNA	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0108308	Multiple system atrophy	Upregulated	qPCR etc.	Human	"Five circRNAs, namely IQCK, MAP4K3, EFCAB11, DTNA, and MCTP1, were identified and validated as specifically over-expressed in MSA frontal cortex.  Further analysis of expression of five MSA-specific circRNAs revealed their over-expression in the white matter of the MSA cortical tissue. "	2016/11/1	27470294	
MCTP1/hsa_circ_0005540	chr5:94204037-94248681	-	MCTP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005540	Multiple system atrophy	Upregulated	qPCR etc.	Human	"Five circRNAs, namely IQCK, MAP4K3, EFCAB11, DTNA, and MCTP1, were identified and validated as specifically over-expressed in MSA frontal cortex.  Further analysis of expression of five MSA-specific circRNAs revealed their over-expression in the white matter of the MSA cortical tissue. "	2016/11/1	27470294	
circFAT1	chr4:187627717-187630999	N/A	FAT1	N/A	Colon cancer	Downregulated	qPCR etc.	Human	"circFAT1 was significantly down-regulated in the mutant KRAS cell line,circFAT1 was significantly down regulated in DKO-1 as compared to DKs-8 "	2016/11/1	27892494	
circARHGAP5	chr14:32559708-32563592	N/A	ARHGAP5	N/A	Colon cancer	Downregulated	qPCR etc.	Human	Two significantly regulated circRNAs between KRAS mutant and WT exosomes were down-regulated in KRAS mutant (circFAT1 and circARHGAP5)	2016/11/1	27892494	
circRTN4	chr2:55209651-55214834	N/A	RTN4	N/A	Colon cancer	Downregulated	qPCR etc.	Human	circRTN4 was significantly up regulated in DLD-1 exosomes	2016/11/1	27892494	
circRHOBTB3	chr5:95091100-95099324	N/A	RHOBTB3	N/A	Colon cancer	Downregulated	qPCR etc.	Human	Unclear	2016/11/1	27892494	
circSMARC1A	chr4:144464662-144465125	N/A	SMARC1A	N/A	Colon cancer	Downregulated	qPCR etc.	Human	Unclear	2016/11/1	27892494	
Titin circRNAs/cTtns/RBM20-dependent TTN circRNAs	N/A	N/A	N/A	N/A	Dilated cardiomyopathy	Downregulated	qPCR etc.	Human	"RBM20 is crucial for the formation of a subset of circRNAs that originate from the I-band of the titin gene. RBM20, by excluding specific exons from the pre-mRNA, provides the substrate to form this class of RBM20-dependent circRNAs."	2016/10/1	27531932	
Titin circRNAs/cTtns/RBM20-dependent TTN circRNAs	N/A	N/A	N/A	N/A	Dilated cardiomyopathy	Downregulated	qPCR etc.	Mouse	We show in a patient with an RBM20 mutation and in Rbm20 knockout mice that RBM20 function is required for the production of circRNAs from the I-band region of titin. This suggests that loss of RBM20 may induce myocardial disease not only by abnormal splicing of linear transcripts but possibly also by loss of a specific class of conserved and regulated circRNAs.	2016/10/1	27531932	
hsa_circ_0067934	chr3:170013698-170015181	+	PRKCI	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0067934	Esophageal squamous cell carcinoma	Upregulated	"qPCR,In vitro cell migration and invasion assay, FISH, Western blot etc."	Human	"The high expression level of hsa_circ_0067934 was associated with poor differentiation (P?=?0.025), I-II T stage (P?=?0.04), and I-II TNM stage (P?=?0.021). "	2016/10/1	27752108	
circRNA_002581/mm9_circ_002581/mmu_circ_0001351	chr5:66362717-66365120	-	Apbb2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=mmu_circ_0001351	Nonalcoholic steatohepatitis	Upregulated	qPCR etc.	Mouse	"Through predicted overlapped miRNA verification, four circRNA-miRNA-mRNA pathways were constructed, including circRNA_002581-miR-122-Slc1a5, circRNA_002581- miR-122-Plp2, circRNA_002581-miR-122-Cpeb1 and circRNA_007585-miR-326- UCP2."	2016/10/1	27677588	
circRNA_007585/mm9_circ_007585/mmu_circ_0001046	chr2:91805023-91825352	+	Ambra1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=mmu_circ_0001046	Nonalcoholic steatohepatitis	Upregulated	qPCR etc.	Mouse	"Through predicted overlapped miRNA verification, four circRNA-miRNA-mRNA pathways were constructed, including circRNA_002581-miR-122-Slc1a5, circRNA_002581- miR-122-Plp2, circRNA_002581-miR-122-Cpeb1 and circRNA_007585-miR-326- UCP2."	2016/10/1	27677588	
circRNA_002279/mm9_circ_002279	chrX:95898264-95899700	+	Zc3h12b	N/A	Nonalcoholic steatohepatitis	Upregulated	qPCR etc.	Mouse	"Though the data from microarray and qRT-PCR showed the same change tendency of circRNA_002581, circRNA_007585, circRNA_002279, circRNA_012164 and circRNA_008472, only the former two reached statistical significance and become candidates for further study"	2016/10/1	27677588	
circRNA_004772/mm9_circ_004772	chr14:77365025-77380688	+	Enox1	N/A	Nonalcoholic steatohepatitis	Downregulated	qPCR etc.	Mouse	circRNA_004772 had the opposite expression in microarray and qRT-PCR but the difference is not statistically significant.	2016/10/1	27677588	
circRNA_012164/mm9_circ_012164	chr13:23739382-23739448	+	Hist1h1c	N/A	Nonalcoholic steatohepatitis	Upregulated	qPCR etc.	Mouse	"Though the data from microarray and qRT-PCR showed the same change tendency of circRNA_002581, circRNA_007585, circRNA_002279, circRNA_012164 and circRNA_008472, only the former two reached statistical significance and become candidates for further study"	2016/10/1	27677588	
circRNA_008472/mm9_circ_008472	chr1:195018600-195024406	+	A330023F24Rik	N/A	Nonalcoholic steatohepatitis	Upregulated	qPCR etc.	Mouse	"Though the data from microarray and qRT-PCR showed the same change tendency of circRNA_002581, circRNA_007585, circRNA_002279, circRNA_012164 and circRNA_008472, only the former two reached statistical significance and become candidates for further study"	2016/10/1	27677588	
hsa_circ_0004383/cZNF292	chr6:87920168-87928449	+	ZNF292	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004383	Glioma	Upregulated	"qPCR, Western blot, Reporter gene assay etc."	Human	"cZNF292 silencing suppresses tube formation by inhibiting glioma cell proliferation and cell cycle progression. Cell cycle progression in human glioma U87MG and U251 cells was halted at S/G2/M phase via the Wnt/汕-catenin signaling pathway and related genes such as PRR11, Cyclin A, p-CDK2, VEGFR-1/2, p-VEGFR-1/2 and EGFR. "	2016/9/1	27613831	
hsa_circ_103736/hsa_circ_0070933	chr4:128995614-128996148	+	LARP1B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0070933	Cutaneous squamous cell carcinoma	Upregulated	qPCR etc.	Human	May as miRNA sponges	2016/9/1	27298156	
hsa_circ_103737/hsa_circ_0070934	chr4:128995614-129012667	+	LARP1B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0070934	Cutaneous squamous cell carcinoma	Upregulated	qPCR etc.	Human	May as miRNA sponges	2016/9/1	27298156	
hsa_circ_101555/hsa_circ_0001955	chr15:64495280-64508912	-	CSNK1G1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001955	Cutaneous squamous cell carcinoma	Upregulated	qPCR etc.	Human	May as miRNA sponges	2016/9/1	27298156	
HRCR/mm9-circ-012559/mmu_circ_0000254	chr11:43518035-43518979	+	Pwwp2a	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=mmu_circ_0000254	Hypertrophic cardiomyopathy	Downregulated	"qPCR, Luciferase assay, Western blot etc."	Mouse	"HRCR functions as an endogenous miR-223 sponge to sequester and inhibit miR-223 activity, which resulted in the increase of ARC expression. Heart-related circRNA directly bound to miR-223 in cytoplasm and enforced expression of HRCR in cardiomyocytes and in mice both exhibited attenuated hypertrophic responses."	2016/9/1	26802132	
hsa_circ_0000615/MICRA	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Myocardial infarction	Downregulated	qPCR etc.	Human	Expression levels of MICRA were lower in MI patients of the test cohort compared with healthy volunteers	2016/9/1	27609688	
hsa_circRNA_103636/hsa_circ_0001410	chr4:52729602-52744020	+	DCUN1D4	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001410	Major depressive disorder	Downregulated	qPCR etc.	Human	"Four differentially expressed circRNAs were identified between MDD patients and controls, and only down-regulated hsa_circRNA_103636 was significantly altered after the 8-week treatment in MDD patients."	2016/9/1	27404501	
hsa_circRNA_002143/hsa_circ_0001907	chrUn_gl000220:100404-123082	+	LOC100507412	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001907	Major depressive disorder	Upregulated	qPCR etc.	Human	Unclear	2016/9/1	27404501	
hsa_circRNA_100679/hsa_circ_0005620 	chr10:105382226-105420872	-	SH3PXD2A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005620	Major depressive disorder	Downregulated	qPCR etc.	Human	Unclear	2016/9/1	27404501	
hsa_circRNA_102802/hsa_circ_0056048	chr2:112101637-112101814	-	TCONS_l2_00014790	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0056048	Major depressive disorder	Upregulated	qPCR etc.	Human	Unclear	2016/9/1	27404501	
hsa_circRNA_104953/hsa_circ_0089310	chr9:135917473-135919313	+	GTF3C5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0089310	Major depressive disorder	Downregulated	qPCR etc.	Human	Unclear	2016/9/1	27404501	
hsa_circRNA_100782/circHIPK3/hsa_circ_0000284	chr11:33307958-33309057	+	HIPK3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000284	Pre-eclampsia	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circRNA_100782 (p < 0.05), hsa_circRNA_102682 (p < 0.05), and hsa_circRNA_104820 (p < 0.0001) were validated as significantly up-regulated in the experimental group compared with the controls."	2016/9/1	27606420	
hsa_circRNA_102682/circCRIM1/hsa_circ_0005442	chr2:36623756-36749456	+	CRIM1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005442	Pre-eclampsia	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circRNA_100782 (p < 0.05), hsa_circRNA_102682 (p < 0.05), and hsa_circRNA_104820 (p < 0.0001) were validated as significantly up-regulated in the experimental group compared with the controls."	2016/9/1	27606420	
hsa_circRNA_104820/circFAM120A/hsa_circ_0005218	chr9:96233422-96259881	+	FAM120A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005218	Pre-eclampsia	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circRNA_100782 (p < 0.05), hsa_circRNA_102682 (p < 0.05), and hsa_circRNA_104820 (p < 0.0001) were validated as significantly up-regulated in the experimental group compared with the controls."	2016/9/1	27606420	
Cir-ITCH/hsa_circ_0001141/hsa_circ_001763	chr20:33001547-33037285	+	ITCH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001141	Lung cancer	Downregulated	"qPCR, Luciferase assay, Western blot, Cell viability assay etc."	Human	"cir-ITCH acted as sponge of oncogenic miR-7 and miR-214 to enhance ITCH expression and thus suppressed the activation of?Wnt/汕-catenin signaling, Sponge miR-7, miR-17, and miR-214 to increase ITCH expression, then degrade Dvl2 phosphorylation to further inhibit the Wnt signaling pathway "	2016/8/1	27642589	
circANRIL	N/A	N/A	ANRIL	N/A	Atherosclerosis	Downregulated	"qPCR, Western blot, Northern blot, ISH, Immunofluorescent staining, RIP etc."	Human	"circANRIL induces nucleolar stress and p53 activation, resulting in the induction of apoptosis and inhibition of proliferation, which are key cell functions in atherosclerosis."	2016/8/1	27539542	
circTCF25/hsa_circ_0041103	chr16:89962397-89967202	+	TCF25	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0041103	Bladder cancer	Upregulated	"qPCR, Western blot etc."	Human	"circTCF25 could sequester miR-103a-3p/miR-107, which potentially lead to the up-regulation of thirteen targets related to cell proliferation, migration and invasion.over-expression of circTCF25 could down-regulate miR-103a-3p and miR-107, increase CDK6 expression, and promote proliferation and migration in vitro and vivo. "	2016/8/1	27484176	
circFAM169A/hsa_circ_0007158	chr5:74109664-74137504	-	FAM169A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007158	Bladder cancer	Downregulated	qPCR etc.	Human	circFAM169A (hsa_circ_0007158) and circTRIM24 (hsa_circ_0082582) are significantly down-regulated in bladder carcinoma groups	2016/8/1	27484176	
circTRIM24/hsa_circ_0082582	chr7:138203933-138255748	+	TRIM24	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0082582	Bladder cancer	Downregulated	qPCR etc.	Human	circFAM169A (hsa_circ_0007158) and circTRIM24 (hsa_circ_0082582) are significantly down-regulated in bladder carcinoma groups	2016/8/1	27484176	
circZFR/hsa_circ_0072088	chr5:32379220-32388780	-	ZFR	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0072088	Bladder cancer	Upregulated	qPCR etc.	Human	"circTCF25 (hsa_circ_0041103), circZFR (hsa_circ_0072088), circPTK2 (hsa_circ_0005273) and circBC048201 (hsa_circ_0061265) are significantly higher expressed in carcinoma tissues"	2016/8/1	27484176	
circBC048201/hsa_circ_0061265	chr21:15456270-15456465	+	N/A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0061265	Bladder cancer	Upregulated	qPCR etc.	Human	"circTCF25 (hsa_circ_0041103), circZFR (hsa_circ_0072088), circPTK2 (hsa_circ_0005273) and circBC048201 (hsa_circ_0061265) are significantly higher expressed in carcinoma tissues"	2016/8/1	27484176	
circPTK2/hsa_circ_0005273	chr8:141710989-141716304	-	PTK2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005273	Bladder cancer	Upregulated	qPCR etc.	Human	"circTCF25 (hsa_circ_0041103), circZFR (hsa_circ_0072088), circPTK2 (hsa_circ_0005273) and circBC048201 (hsa_circ_0061265) are significantly higher expressed in carcinoma tissues"	2016/8/1	27484176	
circRNA_104983/hsa_circ_0089974	chrX:17705861-17710588	+	NHS	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0089974	Esophageal cancer	Upregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_001059/hsa_circ_0000554	chr14:74551677-74551959	+	LIN52	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000554	Esophageal cancer	Upregulated	qPCR etc.	Human	"CircRNA_001059 and circRNA_000167 were the two largest nodes in circRNA/microRNA co-expression network. circRNA_ 001059 may act as an inhibitor of miRNA by
binding several specific miRNAs, including miR-30c-1*,
miR-30c-2*, miR-122*, miR-139-3p, miR-339-5p and miR-
1912."	2016/7/1	27465405	
circRNA_100984/hsa_circ_0002019	chr11:126142863-126143349	+	FOXRED1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002019	Esophageal cancer	Upregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_100367/hsa_circ_0014879	chr1:160206924-160231148	-	DCAF8	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0014879	Esophageal cancer	Upregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_101877/hsa_circ_0004519	chr16:74670243-74671868	-	RFWD3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004519	Esophageal cancer	Downregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_102913/hsa_circ_0058058	chr2:216177220-216190861	+	ATIC	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0058058	Esophageal cancer	Downregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_000695/hsa_circ_0001336	chr3:128102470-128102926	+	EEFSEC	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001336	Esophageal cancer	Downregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circRNA_000167/hsa_circ_0000518	chr14:20811404-20811554	-	RPPH1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000518	Esophageal cancer	Downregulated	qPCR etc.	Human	CircRNA_001059 and circRNA_000167 were the two largest nodes in circRNA/microRNA co-expression network.	2016/7/1	27465405	
circRNA_101419/hsa_circ_0032832	chr14:81837331-81837529	-	STON2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0032832	Esophageal cancer	Downregulated	qPCR etc.	Human	Unclear	2016/7/1	27465405	
circ-Foxo3	N/A	N/A	Foxo3	N/A	Breast cancer	Downregulated	qPCR etc.	Mouse	"Expression of circ-Foxo3, Foxo3P and Foxo3 was analyzed in these tissues by real-time PCR. The breast tumor tissues expressed low levels of circ-Foxo3, Foxo3P and Foxo3 compared with normal tissues."	2016/7/1	26657152	
CDR1as/ciRS-7/hsa_circ_0001946	chrX:139865339-139866824	+	CDR1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001946	Hepatocellular carcinoma	Upregulated	"qPCR, Western blot etc."	Human	"Knockdown of Cdr1as suppressed the HCC cell proliferation and invasion. Overexpression of miR-7 inhibited the HCC cell proliferation and invasion. Overexpression of miR-7 could suppress the direct target gene CCNE1 and PIK3CD expression. Knockdown of Cdr1as suppressed the expression of miR-7 and also inhibited the CCNE1 and PIK3CD expression. Furthermore, knockdown of Cdr1as suppressed the HCC cell proliferation and invasion through targeting miR-7. These data suggested that Cdr1as acted as an oncogene partly through targeting miR-7 in HCC."	2016/7/1	27391479	
mmu_circRNA_CDR1as/mmu_circ_0001878	chrX:58436422-58439349	+	Cdr1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=mmu_circ_0001878	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_004775	chr2	-	Dennd1A	N/A	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_007687	chr11	+	Helz	N/A	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_013216	chr1	+	Sulf1	N/A	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	"The potential miRNA targets of mmu_circRNA_013216 include miR-181a-3p, miR-486a-5p and miR-486b-5p"	2016/6/1	27336675	
mmu_circRNA_010567	chr13	-	Zswim6	N/A	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	"For mmu_circRNA_010567, the potential miRNA targets include miR-124. miR-141 and miR-200a"	2016/6/1	27336675	
mmu_circRNA_015506	chr17	+	Crim1	N/A	Myocardial infarction induced heart failure	Upregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_001135	chr14	+	Samd8	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_002007	chr14	+	Flnb	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_004768	chr19	+	Ubxn1	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_008398	chr9	-	Mlip	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_008640	chr6	+	Adcyap1r1	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
mmu_circRNA_014961	chr14	+	Zmiz1	N/A	Myocardial infarction induced heart failure	Downregulated	qPCR etc.	Mouse	The distinct expression patterns of circulatory circRNAs during HF indicate that circRNAs may actively respond to stress and thus serve as biomarkers of HF diagnosis and treatment.	2016/6/1	27336675	
hsa_circ_0005075	chr1:21377358-21415706	-	EIF4G3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005075	Hepatocellular carcinoma	Upregulated	qPCR etc.	Human	"Hsa_circ_0005075 expression correlated with HCC tumor size (P?=?0.042), and showed good diagnostic potential (AUROC?=?0.94). Gene oncology analysis revealed that hsa_circ_0005075 could participate in cell adhesion during HCC development.May as hsa_circ_0005075-miR-23B-5P/93-3P/581/23A-5P sponges"	2016/5/1	27258521	
hsa_circ_0075829	chr6:22020567-22056919	+	LINC00340	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0075829	Basal cell carcinoma	Upregulated	qPCR etc.	Human	"PCR validation showed that all three upregulated circRNAs were also upregulated in a second group of BCC and controls. In detail, the following ratios of gene expression were calculated (BCC/control): hsa_ circ_00075829 (549.55), hsa_circ_0008732 (7.74) and hsa_circ_0005912 (1.23)."	2016/5/1	27097056	
